"","CandidateId","JobId","targets.last_status"
"1",7435,163,0.5
"2",7445,163,0.5
"3",7450,163,0.5
"4",7452,163,0.5
"5",7453,163,0.5
"6",7454,163,0.5
"7",7457,163,0.5
"8",7458,163,0.5
"9",7459,163,0.5
"10",7460,163,0.5
"11",7461,163,0.5
"12",7415,163,0.5
"13",7416,163,0.5
"14",7417,163,0.5
"15",7418,163,0.5
"16",7419,163,0.5
"17",7420,163,0.5
"18",7421,163,0.5
"19",7422,163,0.5
"20",7423,163,0.5
"21",7425,163,0.5
"22",11114,211,0.5
"23",11116,211,NA
"24",11120,211,0.6
"25",11122,211,0.6
"26",11124,211,0.6
"27",11126,211,0.6
"28",11128,211,0.6
"29",11130,211,0.6
"30",11014,211,0.5
"31",11016,211,0.5
"32",11018,211,0.5
"33",11020,211,0.5
"34",23175,211,NA
"35",23176,211,NA
"36",23177,211,0.6
"37",23178,211,0.5
"38",8999,211,0.5
"39",9001,211,0.5
"40",9003,211,0.5
"41",9005,211,0.5
"42",9007,211,0.5
"43",9009,211,0.5
"44",9011,211,0.5
"45",9013,211,0.5
"46",9015,211,0.5
"47",9017,211,0.5
"48",9019,211,0.5
"49",9021,211,0.5
"50",9025,211,0.5
"51",9027,211,0.5
"52",9029,211,0.5
"53",9031,211,0.5
"54",9033,211,0.5
"55",9035,211,0.5
"56",8489,211,0.5
"57",8490,211,0.5
"58",8494,211,0.5
"59",12853,232,0.5
"60",12855,232,0.5
"61",12857,232,0.5
"62",12859,232,0.5
"63",12861,232,0.5
"64",12864,232,0.5
"65",12867,232,0.5
"66",12869,232,0.5
"67",12873,232,0.5
"68",12797,232,0.5
"69",12798,232,0.5
"70",12800,232,0.5
"71",12802,232,0.5
"72",12804,232,0.5
"73",12806,232,0.5
"74",12809,232,0.5
"75",12813,232,0.5
"76",12815,232,0.5
"77",12817,232,0.5
"78",12821,232,0.5
"79",12665,232,0.5
"80",12669,232,0.5
"81",12673,232,NA
"82",12677,232,0.5
"83",12679,232,0.5
"84",12681,232,0.5
"85",12683,232,0.5
"86",12685,232,0.5
"87",12687,232,0.5
"88",12689,232,0.5
"89",12573,232,0.5
"90",12575,232,0.5
"91",14924,288,0.6
"92",14926,288,0.6
"93",14929,288,0.6
"94",23873,288,0.6
"95",15143,292,0.6
"96",15144,292,0.6
"97",15127,292,0.6
"98",15063,292,0.6
"99",15064,292,0.6
"100",15122,292,0.6
"101",15125,292,0.6
"102",15060,292,0.6
"103",15057,292,0.6
"104",15059,292,0.6
"105",23954,369,NA
"106",23669,369,0.5
"107",23678,369,0.5
"108",23679,369,0.5
"109",23680,369,0.5
"110",23681,369,0.5
"111",23682,369,0.5
"112",614688,6879,0.5
"113",617176,6879,0.5
"114",614735,6879,0.5
"115",614684,6879,1
"116",614712,6879,0.5
"117",614734,6879,0.6
"118",617167,6879,0.5
"119",617400,6879,0.5
"120",617077,6879,NA
"121",617448,6879,0.5
"122",617186,6879,0.5
"123",616907,6879,1
"124",617226,6879,1
"125",617236,6879,0.6
"126",617353,6879,0.6
"127",617361,6879,0.5
"128",617388,6879,0.5
"129",618823,6879,0.5
"130",618832,6879,0.5
"131",618834,6879,0.6
"132",623324,6879,0.6
"133",623354,6879,0.5
"134",623293,6879,0.5
"135",623299,6879,1
"136",623301,6879,0.6
"137",623311,6879,0.5
"138",623338,6879,0.5
"139",623347,6879,0.5
"140",623359,6879,0.5
"141",623367,6879,0.6
"142",623371,6879,0.5
"143",623376,6879,0.5
"144",623399,6879,0.5
"145",623403,6879,0.5
"146",623407,6879,0.6
"147",623412,6879,0.5
"148",623417,6879,0.5
"149",623420,6879,0.5
"150",623631,6879,0.6
"151",623768,6879,0.6
"152",623770,6879,0.5
"153",623777,6879,0.5
"154",623781,6879,0.5
"155",623789,6879,0.5
"156",623795,6879,0.6
"157",623808,6879,0.6
"158",624799,6879,0.5
"159",625456,6879,0.5
"160",625464,6879,0.6
"161",625473,6879,0.5
"162",625493,6879,0.5
"163",625501,6879,0.5
"164",625513,6879,0.5
"165",625516,6879,0.6
"166",625688,6879,0.5
"167",631125,6879,1
"168",625700,6879,0.6
"169",625708,6879,0.5
"170",625718,6879,NA
"171",631111,6879,0.6
"172",631763,6879,NA
"173",631769,6879,NA
"174",631772,6879,1
"175",631779,6879,0.6
"176",631789,6879,0.6
"177",631905,6879,0.6
"178",631908,6879,NA
"179",631913,6879,0.5
"180",631920,6879,0.5
"181",631924,6879,0.5
"182",631930,6879,0.5
"183",631959,6879,0.5
"184",631962,6879,0.5
"185",631992,6879,0.5
"186",631994,6879,0.5
"187",632003,6879,0.6
"188",632007,6879,0.6
"189",632847,6879,0.5
"190",632848,6879,0.5
"191",632850,6879,0.6
"192",633527,6879,1
"193",634375,6879,0.5
"194",638074,6879,0.5
"195",638001,6879,0.5
"196",642337,6879,0.5
"197",642306,6879,NA
"198",642265,6879,0.5
"199",642243,6879,NA
"200",643566,6879,1
"201",642278,6879,0.5
"202",638048,6879,0.5
"203",633824,6879,0.6
"204",633825,6879,0.5
"205",633838,6879,0.5
"206",633991,6879,1
"207",646795,6879,0.5
"208",646782,6879,0.5
"209",634000,6879,0.6
"210",634003,6879,0.5
"211",634058,6879,0.5
"212",634062,6879,0.5
"213",634298,6879,0.5
"214",634314,6879,0.5
"215",634379,6879,0.5
"216",640201,6879,1
"217",646444,6879,1
"218",638050,6879,0.6
"219",638047,6879,0.6
"220",638046,6879,0.6
"221",638042,6879,0.6
"222",638038,6879,0.6
"223",638033,6879,0.6
"224",638002,6879,NA
"225",634547,6879,0.6
"226",638006,6879,0.6
"227",634385,6879,NA
"228",637958,6879,0.6
"229",636853,6879,0.5
"230",636024,6879,NA
"231",634568,6879,0.6
"232",634542,6879,NA
"233",634530,6879,0.6
"234",634471,6879,0.6
"235",634391,6879,0.6
"236",642285,6879,0.6
"237",642281,6879,0.6
"238",642274,6879,0.6
"239",642270,6879,0.6
"240",642262,6879,NA
"241",642261,6879,NA
"242",642257,6879,0.6
"243",642253,6879,0.6
"244",642248,6879,0.6
"245",642234,6879,0.5
"246",642220,6879,0.6
"247",642217,6879,0.6
"248",638079,6879,0.6
"249",638070,6879,0.6
"250",638064,6879,0.6
"251",638056,6879,0.6
"252",642287,6879,NA
"253",644079,6879,0.5
"254",644074,6879,0.6
"255",644067,6879,0.6
"256",644062,6879,0.6
"257",642346,6879,0.6
"258",642342,6879,0.6
"259",642332,6879,0.6
"260",642326,6879,0.6
"261",642323,6879,0.6
"262",642321,6879,0.6
"263",642312,6879,0.6
"264",642301,6879,0.6
"265",642299,6879,0.6
"266",642297,6879,0.6
"267",642292,6879,0.6
"268",642289,6879,0.6
"269",644081,6879,0.6
"270",644083,6879,0.6
"271",644087,6879,0.6
"272",644090,6879,0.6
"273",646447,6879,0.6
"274",652727,6879,0.6
"275",644091,6879,0.6
"276",644092,6879,0.5
"277",644095,6879,0.6
"278",646452,6879,0.6
"279",646460,6879,0.6
"280",646463,6879,0.6
"281",646780,6879,0.6
